edge_id,way_id,name,lat,lon,start_node,end_node
-157394830#1,157394830,Phố Dịch Vọng,21.0344631,105.7944022,11883368711,cluster_10260860227_1696156925
-157394830#2,157394830,Phố Dịch Vọng,21.0341083,105.7941423,1691398137,11883368711
-157394830#3,157394830,Phố Dịch Vọng,21.0339373,105.7940117,cluster_11201478536_5718908521,1691398137
-157394830#5,157394830,Phố Dịch Vọng,21.0337732,105.7938973,7484296218,cluster_11201478536_5718908521
-157394830#6,157394830,Phố Dịch Vọng,21.0334764,105.7937598,5718908526,7484296218
-158632069#0,158632069,Phố Dịch Vọng Hậu,21.0279897,105.7857658,10225809111,1750743103
-158632069#1,158632069,Phố Dịch Vọng Hậu,21.0283242,105.7858238,cluster_10225809112_1750743109,10225809111
-158632069#2,158632069,Phố Dịch Vọng Hậu,21.0289731,105.7859399,10225916088,cluster_10225809112_1750743109
-158632069#3,158632069,Phố Dịch Vọng Hậu,21.0293373,105.7860058,cluster_10225809113_1750743102,10225916088
-158632069#4,158632069,Phố Dịch Vọng Hậu,21.0295195,105.7860389,10225916085,cluster_10225809113_1750743102
-158632069#5,158632069,Phố Dịch Vọng Hậu,21.0299687,105.7861209,cluster_12337414886_12337414889_1707941858_6624890274_#1more,10225916085
-162640320#1,162640320,Phố Đặng Thùy Trâm,21.0419204,105.7882579,11556785882,cluster_10269685081_11237795947
-162640320#2,162640320,Phố Đặng Thùy Trâm,21.0422213,105.7878991,11556835373,11556785882
-162640320#3,162640320,Phố Đặng Thùy Trâm,21.0423814,105.7876933,1745050228,11556835373
-162640320#4,162640320,Phố Đặng Thùy Trâm,21.0426328,105.7873779,1745050259,1745050228
-162640320#5,162640320,Phố Đặng Thùy Trâm,21.0428475,105.7871112,1745050313,1745050259
-162640320#6,162640320,Phố Đặng Thùy Trâm,21.0432815,105.7865542,10269195204,1745050313
-162931629#1,162931629,Phố Phạm Tuấn Tài,21.0458864,105.7863849,10212441045,cluster_10312567030_9301760719
-162931629#2,162931629,Phố Phạm Tuấn Tài,21.0455207,105.7863857,cluster_10248825769_9301760740,10212441045
-162931629#3,162931629,Phố Phạm Tuấn Tài,21.0451448,105.7863866,cluster_10248857562_1748197987,cluster_10248825769_9301760740
-162931638#1,162931638,Ngõ 49 Phố Trần Cung,21.0469795,105.7891766,cluster_11545864039_3373199473,11545474468
-162931638#3,162931638,Ngõ 49 Phố Trần Cung,21.0468664,105.7888449,cluster_11546008949_3373199471,cluster_11545864039_3373199473
-162931638#5,162931638,Ngõ 49 Phố Trần Cung,21.0468037,105.7886609,cluster_11546008915_11546008947,cluster_11546008949_3373199471
-162931638#7,162931638,Ngõ 49 Phố Trần Cung,21.0467676,105.7885549,cluster_11545491632_11546008903,cluster_11546008915_11546008947
